Name	Type	ALIGNMENT	Size	CR	AC	HP	Spellcasting?	Attack 1 damage	Attack 2 Damage	Arctic	Coast	Desert	Forest	Grassland	Hill	Mountain	Swamp	Underdark	Underwater	Urban
Tiger	Beast	U	Large	1	12	37	NO	1d10+3	1d8+3	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
Treant	Plant	CG	Huge	9	16	138	NO	3d6+6	4d10+6	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Tribal Warrior	Humanoid	ANY	Medium	0.13	12	11	NO	1d8+1	N/A	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Triceratops	Beast	U	Huge	5	13	95	NO	4d8+6	3d10+6	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
Tridrone	Construct	LN	Medium	0.5	15	16	NO	1d4+1	1d6+1	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Troglodyte	Humanoid	CE	Medium	0.25	11	13	NO	1d4+2	1d4+2	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Troll	Giant	CE	Large	5	15	84	NO	1d6+4	2d6+4	YES	NO	NO	YES	NO	YES	YES	YES	YES	NO	NO
Twig Blight	Plant	NE	Small	0.13	13	4	NO	1d4+1	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Tyrannosaurus Rex	Beast	U	Huge	8	13	136	NO	4d12+7	3d8+7	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
Ultroloth	Fiend	NE	Medium	13	19	153	YES	1d10+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Umber Hulk	Monstrosity	CE	Large	5	18	93	NO	1d8+5	2d8+5	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Unicorn	Celestial	LG	Large	5	12	67	YES	2d6+4	1d8+4	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Vampire	Undead	LE	Medium	13	16	144	NO	4d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Vampire Spawn	Undead	NE	Medium	5	15	82	NO	2d4+3	3d6+3	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES
Veteran	Humanoid	ANY	Medium	3	17	58	NO	1d10+3	1d6+3	YES	YES	NO	YES	YES	YES	YES	NO	YES	NO	YES
Vine Blight	Plant	NE	Medium	0.5	12	26	NO	2d6+2	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Violet Fungus	Plant	U	Medium	0.25	5	18	NO	1d8	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Vrock	Fiend (Demon)	CE	Large	6	15	104	NO	2d6+3	2d10+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Vulture	Beast	U	Medium	0	10	5	NO	1d4	N/A	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO
Warhorse	Beast	U	Large	0.5	11	19	NO	2d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Warhorse Skeleton	Undead	LE	Large	0.5	13	22	NO	2d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Water Elemental	Elemental	N	Large	5	14	114	NO	2d8+4	N/A	NO	YES	NO	NO	NO	NO	NO	YES	NO	YES	NO
Water Weird	Elemental	N	Large	3	13	58	NO	2d6+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES
Weasel	Beast	U	Tiny	0	13	1	NO	1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Werebear	Humanoid	NG	Medium	5	11	135	NO	2d10+4	N/A	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Wereboar	Humanoid	NE	Medium	4	11	78	NO	2d6+3	2d6+3	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO
Wererat	Humanoid	LE	Medium	2	12	35	NO	1d4+2	1d6+2	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	YES
Weretiger	Humanoid	N	Medium	4	12	120	NO	1d10+3	1d8+3	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Werewolf	Humanoid	CE	Medium	3	12	58	NO	1d8+2	2d4+2	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO
"White Dragon, Adult"	Dragon	CE	Huge	13	18	200	NO	2d10+1d8+6	2d6+6	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"White Dragon, Ancient"	Dragon	CE	Gargantuan	20	20	333	NO	2d10+2d8+8	2d6+8	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"White Dragon, Wyrmling"	Dragon	CE	Medium	2	16	32	NO	1d10+1d4+2	5d8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"White Dragon, Young"	Dragon	CE	Large	6	14	135	NO	2d10+1d8+4	2d6+4	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Wight	Undead	NE	Medium	3	14	45	NO	1d6+2	1d10+2	NO	NO	YES	NO	NO	NO	NO	YES	YES	NO	YES
Will-O'-Wisp	Undead	CE	Tiny	2	19	22	NO	2d8	N/A	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	YES
Winged Kobold	Humanoid	LE	Small	0.25	13	7	NO	1d4+3	1d6+3	YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	YES
Winter Wolf	Monstrosity	NE	Large	3	13	75	NO	2d6+4	4d8	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Wolf	Beast	U	Medium	0.25	13	11	NO	2d4+4	N/A	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO
Worg	Monstrosity	NE	Large	0.5	13	26	NO	2d6+3	N/A	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
Wraith	Undead	NE	Medium	5	13	67	NO	4d8+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Wyvern	Dragon	U	Large	6	13	110	NO	2d6+4	2d8+4	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO
Xorn	Elemental	N	Medium	5	19	73	NO	1d6+3	3d6+3	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Yeti	Monstrosity	CE	Large	3	12	51	NO	2d6+4	N/A	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Yochlol	Fiend (Demon)	CE	Medium	10	15	136	YES	7d6+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Young Remorhaz	Monstrosity	U	Large	5	14	93	NO	3d10+2d6+4	N/A	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Yuan-Ti Abomination	Monstrosity	NE	Large	7	15	127	YES	4d6+4	2d6+4	NO	NO	YES	YES	NO	NO	NO	YES	NO	NO	YES
Yuan-Ti Malison	Monstrosity	NE	Medium	3	12	66	YES	VARIES	N/A	NO	NO	YES	YES	NO	NO	NO	YES	NO	NO	YES
Yuan-Ti Pureblood	Monstrosity	NE	Medium	1	11	40	YES	1d6+1	1d6+1	NO	NO	YES	YES	NO	NO	NO	YES	NO	NO	YES
Zombie	Undead	NE	Medium	0.25	8	22	NO	1d6+1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
